TrainingFile,DBFile,DTWDistance
training_set\Gari\7.wav,class_reprentative\Tamir\3.wav,70.86285154055804
training_set\Gari\7.wav,class_reprentative\Tamir\4.wav,53.88881962746382
training_set\Gari\7.wav,class_reprentative\Tamir\5.wav,56.57860193308443
training_set\Gari\7.wav,class_reprentative\Tamir\6.wav,93.16281436011195
training_set\Gari\7.wav,class_reprentative\Tamir\7.wav,46.78346230555326
training_set\Gari\7.wav,class_reprentative\Tamir\8.wav,70.92034721653908
training_set\Gari\7.wav,class_reprentative\Tamir\9.wav,67.64424805808812
training_set\Gari\8.wav,class_reprentative\Tamir\0.wav,70.26158788334578
training_set\Gari\8.wav,class_reprentative\Tamir\1.wav,86.35631341394037
training_set\Gari\8.wav,class_reprentative\Tamir\2.wav,113.27735733613372
training_set\Gari\8.wav,class_reprentative\Tamir\3.wav,102.81347314361483
training_set\Gari\8.wav,class_reprentative\Tamir\4.wav,80.58022869657725
training_set\Gari\8.wav,class_reprentative\Tamir\5.wav,94.5301117496565
training_set\Gari\8.wav,class_reprentative\Tamir\6.wav,142.3226086134091
training_set\Gari\8.wav,class_reprentative\Tamir\7.wav,69.90022806823254
training_set\Gari\8.wav,class_reprentative\Tamir\8.wav,103.88031451497227
training_set\Gari\8.wav,class_reprentative\Tamir\9.wav,93.6930100088939
training_set\Gari\9.wav,class_reprentative\Tamir\0.wav,55.93526064045727
training_set\Gari\9.wav,class_reprentative\Tamir\1.wav,67.77317636366934
training_set\Gari\9.wav,class_reprentative\Tamir\2.wav,101.77690004557371
training_set\Gari\9.wav,class_reprentative\Tamir\3.wav,90.87874261569232
training_set\Gari\9.wav,class_reprentative\Tamir\4.wav,61.632295343093574
training_set\Gari\9.wav,class_reprentative\Tamir\5.wav,70.68662948161364
training_set\Gari\9.wav,class_reprentative\Tamir\6.wav,117.6782503882423
training_set\Gari\9.wav,class_reprentative\Tamir\7.wav,59.9307008953765
training_set\Gari\9.wav,class_reprentative\Tamir\8.wav,84.4128817813471
training_set\Gari\9.wav,class_reprentative\Tamir\9.wav,75.33501718379557
training_set\Koral\0.wav,class_reprentative\Tamir\0.wav,27.21750702895224
training_set\Koral\0.wav,class_reprentative\Tamir\1.wav,13.688910968601704
training_set\Koral\0.wav,class_reprentative\Tamir\2.wav,14.112822358496487
training_set\Koral\0.wav,class_reprentative\Tamir\3.wav,15.898841875605285
training_set\Koral\0.wav,class_reprentative\Tamir\4.wav,17.618869540281594
training_set\Koral\0.wav,class_reprentative\Tamir\5.wav,11.579494674690068
training_set\Koral\0.wav,class_reprentative\Tamir\6.wav,7.2642781510949135
training_set\Koral\0.wav,class_reprentative\Tamir\7.wav,25.492719911970198
training_set\Koral\0.wav,class_reprentative\Tamir\8.wav,7.156945104710758
training_set\Koral\0.wav,class_reprentative\Tamir\9.wav,18.294803119264543
training_set\Koral\1.wav,class_reprentative\Tamir\0.wav,13.107144140638411
training_set\Koral\1.wav,class_reprentative\Tamir\1.wav,7.04661800339818
training_set\Koral\1.wav,class_reprentative\Tamir\2.wav,11.401160492561758
training_set\Koral\1.wav,class_reprentative\Tamir\3.wav,8.988088363781571
training_set\Koral\1.wav,class_reprentative\Tamir\4.wav,9.162077675573528
training_set\Koral\1.wav,class_reprentative\Tamir\5.wav,6.892972704954445
training_set\Koral\1.wav,class_reprentative\Tamir\6.wav,9.40458866674453
training_set\Koral\1.wav,class_reprentative\Tamir\7.wav,15.741510903462768
training_set\Koral\1.wav,class_reprentative\Tamir\8.wav,5.515609359368682
training_set\Koral\1.wav,class_reprentative\Tamir\9.wav,12.614920032210648
training_set\Koral\2.wav,class_reprentative\Tamir\0.wav,28.042611887678504
training_set\Koral\2.wav,class_reprentative\Tamir\1.wav,10.53410847298801
training_set\Koral\2.wav,class_reprentative\Tamir\2.wav,5.7668695310130715
training_set\Koral\2.wav,class_reprentative\Tamir\3.wav,7.735557648353279
training_set\Koral\2.wav,class_reprentative\Tamir\4.wav,16.178284817375243
training_set\Koral\2.wav,class_reprentative\Tamir\5.wav,10.057172514498234
training_set\Koral\2.wav,class_reprentative\Tamir\6.wav,7.929387531243265
training_set\Koral\2.wav,class_reprentative\Tamir\7.wav,24.281331345438957
training_set\Koral\2.wav,class_reprentative\Tamir\8.wav,5.3918846836313605
training_set\Koral\2.wav,class_reprentative\Tamir\9.wav,27.607307210564613
training_set\Koral\3.wav,class_reprentative\Tamir\0.wav,25.164845786988735
training_set\Koral\3.wav,class_reprentative\Tamir\1.wav,9.74798696860671
training_set\Koral\3.wav,class_reprentative\Tamir\2.wav,7.802745038643479
training_set\Koral\3.wav,class_reprentative\Tamir\3.wav,7.924678033217788
training_set\Koral\3.wav,class_reprentative\Tamir\4.wav,14.738918313756585
training_set\Koral\3.wav,class_reprentative\Tamir\5.wav,9.77351728733629
training_set\Koral\3.wav,class_reprentative\Tamir\6.wav,9.335808610543609
training_set\Koral\3.wav,class_reprentative\Tamir\7.wav,21.49513629823923
training_set\Koral\3.wav,class_reprentative\Tamir\8.wav,5.35220209416002
training_set\Koral\3.wav,class_reprentative\Tamir\9.wav,22.95457544736564
training_set\Koral\4.wav,class_reprentative\Tamir\0.wav,17.099519753828645
training_set\Koral\4.wav,class_reprentative\Tamir\1.wav,5.826472137123346
training_set\Koral\4.wav,class_reprentative\Tamir\2.wav,9.229679792188108
training_set\Koral\4.wav,class_reprentative\Tamir\3.wav,6.124316009692848
training_set\Koral\4.wav,class_reprentative\Tamir\4.wav,8.329593789763749
training_set\Koral\4.wav,class_reprentative\Tamir\5.wav,7.255595969967544
training_set\Koral\4.wav,class_reprentative\Tamir\6.wav,10.986459275707603
training_set\Koral\4.wav,class_reprentative\Tamir\7.wav,14.21567121706903
training_set\Koral\4.wav,class_reprentative\Tamir\8.wav,4.8072437811642885
training_set\Koral\4.wav,class_reprentative\Tamir\9.wav,16.530376121401787
training_set\Koral\5.wav,class_reprentative\Tamir\0.wav,15.002445504069328
training_set\Koral\5.wav,class_reprentative\Tamir\1.wav,6.667525874450803
training_set\Koral\5.wav,class_reprentative\Tamir\2.wav,12.330056861042976
training_set\Koral\5.wav,class_reprentative\Tamir\3.wav,9.876301158219576
training_set\Koral\5.wav,class_reprentative\Tamir\4.wav,7.13524585403502
training_set\Koral\5.wav,class_reprentative\Tamir\5.wav,5.694955468177795
training_set\Koral\5.wav,class_reprentative\Tamir\6.wav,10.48418524954468
training_set\Koral\5.wav,class_reprentative\Tamir\7.wav,12.82159920502454
training_set\Koral\5.wav,class_reprentative\Tamir\8.wav,5.577822091057897
training_set\Koral\5.wav,class_reprentative\Tamir\9.wav,12.355527184903622
training_set\Koral\6.wav,class_reprentative\Tamir\0.wav,37.02853271830827
training_set\Koral\6.wav,class_reprentative\Tamir\1.wav,15.793240994215012
training_set\Koral\6.wav,class_reprentative\Tamir\2.wav,6.2132662916556
training_set\Koral\6.wav,class_reprentative\Tamir\3.wav,8.816012721508741
training_set\Koral\6.wav,class_reprentative\Tamir\4.wav,21.13061640318483
training_set\Koral\6.wav,class_reprentative\Tamir\5.wav,13.413082217797637
training_set\Koral\6.wav,class_reprentative\Tamir\6.wav,5.8265130538493395
training_set\Koral\6.wav,class_reprentative\Tamir\7.wav,33.71060512308031
training_set\Koral\6.wav,class_reprentative\Tamir\8.wav,5.135087637230754
training_set\Koral\6.wav,class_reprentative\Tamir\9.wav,32.013581979088485
training_set\Koral\7.wav,class_reprentative\Tamir\0.wav,27.889359385706484
training_set\Koral\7.wav,class_reprentative\Tamir\1.wav,11.965355626307428
training_set\Koral\7.wav,class_reprentative\Tamir\2.wav,11.419236223213375
training_set\Koral\7.wav,class_reprentative\Tamir\3.wav,12.666058890521526
training_set\Koral\7.wav,class_reprentative\Tamir\4.wav,15.892921993508935
training_set\Koral\7.wav,class_reprentative\Tamir\5.wav,10.081613176502287
training_set\Koral\7.wav,class_reprentative\Tamir\6.wav,6.514200557023287
training_set\Koral\7.wav,class_reprentative\Tamir\7.wav,24.26647430192679
training_set\Koral\7.wav,class_reprentative\Tamir\8.wav,5.584619989618659
training_set\Koral\7.wav,class_reprentative\Tamir\9.wav,18.28157044108957
training_set\Koral\8.wav,class_reprentative\Tamir\0.wav,35.66073201503605
training_set\Koral\8.wav,class_reprentative\Tamir\1.wav,13.440906327217817
training_set\Koral\8.wav,class_reprentative\Tamir\2.wav,8.904426840133965
training_set\Koral\8.wav,class_reprentative\Tamir\3.wav,11.327234905213118
training_set\Koral\8.wav,class_reprentative\Tamir\4.wav,19.651767077855766
training_set\Koral\8.wav,class_reprentative\Tamir\5.wav,12.190122201107442
training_set\Koral\8.wav,class_reprentative\Tamir\6.wav,6.053070328198373
training_set\Koral\8.wav,class_reprentative\Tamir\7.wav,31.945965743623674
training_set\Koral\8.wav,class_reprentative\Tamir\8.wav,5.3997837677598
training_set\Koral\8.wav,class_reprentative\Tamir\9.wav,27.56945383641869
training_set\Koral\9.wav,class_reprentative\Tamir\0.wav,30.927593618631363
training_set\Koral\9.wav,class_reprentative\Tamir\1.wav,13.117120889015496
training_set\Koral\9.wav,class_reprentative\Tamir\2.wav,12.836670058779418
training_set\Koral\9.wav,class_reprentative\Tamir\3.wav,14.840008518658578
training_set\Koral\9.wav,class_reprentative\Tamir\4.wav,19.274264416657388
training_set\Koral\9.wav,class_reprentative\Tamir\5.wav,11.89654744323343
training_set\Koral\9.wav,class_reprentative\Tamir\6.wav,7.186190555803478
training_set\Koral\9.wav,class_reprentative\Tamir\7.wav,29.654206500388682
training_set\Koral\9.wav,class_reprentative\Tamir\8.wav,6.384856523014605
training_set\Koral\9.wav,class_reprentative\Tamir\9.wav,20.058678241446614
training_set\Sheli\0.wav,class_reprentative\Tamir\0.wav,17.168922005221248
