TrainingFile,DBFile,DTWDistance
training_set\Gari\7.wav,class_reprentative\Tamir\3.wav,22.899981458372345
training_set\Gari\7.wav,class_reprentative\Tamir\4.wav,19.494212542710365
training_set\Gari\7.wav,class_reprentative\Tamir\5.wav,17.386218207929996
training_set\Gari\7.wav,class_reprentative\Tamir\6.wav,29.840822214226343
training_set\Gari\7.wav,class_reprentative\Tamir\7.wav,21.09195468957175
training_set\Gari\7.wav,class_reprentative\Tamir\8.wav,17.90425126029397
training_set\Gari\7.wav,class_reprentative\Tamir\9.wav,32.54252016028334
training_set\Gari\8.wav,class_reprentative\Tamir\0.wav,22.297305261905
training_set\Gari\8.wav,class_reprentative\Tamir\1.wav,17.649892894484523
training_set\Gari\8.wav,class_reprentative\Tamir\2.wav,24.744913390478214
training_set\Gari\8.wav,class_reprentative\Tamir\3.wav,22.089624407139535
training_set\Gari\8.wav,class_reprentative\Tamir\4.wav,16.41232954179239
training_set\Gari\8.wav,class_reprentative\Tamir\5.wav,19.600961034125458
training_set\Gari\8.wav,class_reprentative\Tamir\6.wav,32.997527968574346
training_set\Gari\8.wav,class_reprentative\Tamir\7.wav,18.96809455489252
training_set\Gari\8.wav,class_reprentative\Tamir\8.wav,17.298620991283737
training_set\Gari\8.wav,class_reprentative\Tamir\9.wav,28.059646725748983
training_set\Gari\9.wav,class_reprentative\Tamir\0.wav,20.3559423386023
training_set\Gari\9.wav,class_reprentative\Tamir\1.wav,15.28341920423214
training_set\Gari\9.wav,class_reprentative\Tamir\2.wav,26.678191018944414
training_set\Gari\9.wav,class_reprentative\Tamir\3.wav,21.58754260614442
training_set\Gari\9.wav,class_reprentative\Tamir\4.wav,15.452974234882022
training_set\Gari\9.wav,class_reprentative\Tamir\5.wav,15.032672115299968
training_set\Gari\9.wav,class_reprentative\Tamir\6.wav,30.217746655839775
training_set\Gari\9.wav,class_reprentative\Tamir\7.wav,19.46527473992049
training_set\Gari\9.wav,class_reprentative\Tamir\8.wav,14.702487530724136
training_set\Gari\9.wav,class_reprentative\Tamir\9.wav,25.817554173019317
training_set\Sheli\0.wav,class_reprentative\Tamir\0.wav,24.47137924821434
training_set\Sheli\0.wav,class_reprentative\Tamir\1.wav,24.06862875184203
training_set\Sheli\0.wav,class_reprentative\Tamir\2.wav,35.057386425341065
training_set\Sheli\0.wav,class_reprentative\Tamir\3.wav,32.346242153592584
training_set\Sheli\0.wav,class_reprentative\Tamir\4.wav,18.830819508675173
training_set\Sheli\0.wav,class_reprentative\Tamir\5.wav,20.998677430331906
training_set\Sheli\0.wav,class_reprentative\Tamir\6.wav,29.22282491325973
training_set\Sheli\0.wav,class_reprentative\Tamir\7.wav,23.783267091573414
training_set\Sheli\0.wav,class_reprentative\Tamir\8.wav,19.18560008001349
training_set\Sheli\0.wav,class_reprentative\Tamir\9.wav,26.878629665012365
training_set\Sheli\1.wav,class_reprentative\Tamir\0.wav,22.482471650498372
training_set\Sheli\1.wav,class_reprentative\Tamir\1.wav,17.339804796196102
training_set\Sheli\1.wav,class_reprentative\Tamir\2.wav,27.560389390492354
training_set\Sheli\1.wav,class_reprentative\Tamir\3.wav,24.72994876810284
training_set\Sheli\1.wav,class_reprentative\Tamir\4.wav,16.447613395243955
training_set\Sheli\1.wav,class_reprentative\Tamir\5.wav,18.860593849521038
training_set\Sheli\1.wav,class_reprentative\Tamir\6.wav,30.52465478230443
training_set\Sheli\1.wav,class_reprentative\Tamir\7.wav,21.334542105192874
training_set\Sheli\1.wav,class_reprentative\Tamir\8.wav,18.10440914247747
training_set\Sheli\1.wav,class_reprentative\Tamir\9.wav,26.46076355652146
training_set\Sheli\2.wav,class_reprentative\Tamir\0.wav,25.770510052869792
training_set\Sheli\2.wav,class_reprentative\Tamir\1.wav,20.40316230508241
training_set\Sheli\2.wav,class_reprentative\Tamir\2.wav,11.150447456191797
training_set\Sheli\2.wav,class_reprentative\Tamir\3.wav,11.100007271033999
training_set\Sheli\2.wav,class_reprentative\Tamir\4.wav,21.667434549013272
training_set\Sheli\2.wav,class_reprentative\Tamir\5.wav,20.448567504530573
