TrainingFile,DBFile,DTWDistance
evaluation_set\David\7.wav,class_reprentative\Tamir\0.wav,5.042068860705763
evaluation_set\David\7.wav,class_reprentative\Tamir\1.wav,5.374887174490429
evaluation_set\David\7.wav,class_reprentative\Tamir\2.wav,9.605379712884906
evaluation_set\David\7.wav,class_reprentative\Tamir\3.wav,8.414102281306741
evaluation_set\David\7.wav,class_reprentative\Tamir\4.wav,4.342261311143613
evaluation_set\David\7.wav,class_reprentative\Tamir\5.wav,5.694747709375597
evaluation_set\David\7.wav,class_reprentative\Tamir\6.wav,9.365569690919836
evaluation_set\David\7.wav,class_reprentative\Tamir\7.wav,4.550059768096093
evaluation_set\David\7.wav,class_reprentative\Tamir\8.wav,6.986304378641925
evaluation_set\David\7.wav,class_reprentative\Tamir\9.wav,6.13392430164697
evaluation_set\David\8.wav,class_reprentative\Tamir\0.wav,4.377941510717043
evaluation_set\David\8.wav,class_reprentative\Tamir\1.wav,2.374084121336071
evaluation_set\David\8.wav,class_reprentative\Tamir\2.wav,3.402772055342642
evaluation_set\David\8.wav,class_reprentative\Tamir\3.wav,2.806754776122403
evaluation_set\David\8.wav,class_reprentative\Tamir\4.wav,2.376229436196283
evaluation_set\David\8.wav,class_reprentative\Tamir\5.wav,1.491346294314662
evaluation_set\David\8.wav,class_reprentative\Tamir\6.wav,3.698947224997021
evaluation_set\David\8.wav,class_reprentative\Tamir\7.wav,4.536271780929512
evaluation_set\David\8.wav,class_reprentative\Tamir\8.wav,2.0270473586626623
evaluation_set\David\8.wav,class_reprentative\Tamir\9.wav,4.3378624165164315
evaluation_set\David\9.wav,class_reprentative\Tamir\0.wav,2.962562583715257
evaluation_set\David\9.wav,class_reprentative\Tamir\1.wav,2.6922100855889415
evaluation_set\David\9.wav,class_reprentative\Tamir\2.wav,7.345377521304926
evaluation_set\David\9.wav,class_reprentative\Tamir\3.wav,5.813477513443467
evaluation_set\David\9.wav,class_reprentative\Tamir\4.wav,3.327407616012004
evaluation_set\David\9.wav,class_reprentative\Tamir\5.wav,3.764934396803196
evaluation_set\David\9.wav,class_reprentative\Tamir\6.wav,5.351202691462351
evaluation_set\David\9.wav,class_reprentative\Tamir\7.wav,3.254026538581371
evaluation_set\David\9.wav,class_reprentative\Tamir\8.wav,3.785119491523009
evaluation_set\David\9.wav,class_reprentative\Tamir\9.wav,2.935428815199107
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\0.wav,11.715999797743493
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\1.wav,14.736346423108373
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\2.wav,24.410645401849425
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\3.wav,21.439436284739337
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\4.wav,12.559582716031137
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\5.wav,16.273339742378102
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\6.wav,21.01292281841941
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\7.wav,13.137603235302569
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\8.wav,18.42916303985215
evaluation_set\Evgeny\0.wav,class_reprentative\Tamir\9.wav,11.652069628628128
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\0.wav,9.14315954082153
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\1.wav,8.984014323331214
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\2.wav,14.094253707110719
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\3.wav,12.39135221467714
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\4.wav,7.014661957889726
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\5.wav,8.987600396596363
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\6.wav,16.295758838166417
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\7.wav,9.123454175490615
evaluation_set\Evgeny\1.wav,class_reprentative\Tamir\8.wav,12.118755700468935
